text,sentiment
"Good toppings and this location is very friendly. Not crazy about the prices, large pepperoni, unbaked, $12? Try $8\n\nBut my kids like it!",negative
"A strange place this,like it was America back in 50's but I was hungry and visiting in a new town.The joint was empty bar one but the server was sweet and generous.I scoured the menu for something that wouldn't kill me and settled on the BLT with a side of sweet potato fries.The bread choice was brown or white..that was it.I nearly pissed myself laughing.The filling of my sandwich tasted okay but the bread tasted like fibreglass.How do these guys stay in business with such out of date food?I'll never know because I'll never be back.",negative
"This review is for their LAVO Champagne Brunch! My new favorite place to hit up in vegas during the day now! :D\n\nOne of my girlfriends knew a promoter and walked 8 of us in. They placed us at a table near the entrance. Free alcohol and free food!? What more can you ask for!? Waiters brought out pancakes, waffles, pizza, garlic fries, salad, etc. mmm! They also give you neon glasses, glow sticks, sweat band, and foam glow sticks! Definitely a hipster/raver party haha. They do have an outdoor area for you to smoke. Weird to come out to see the sun and then walking back into the club with glow sticks everywhere. Haha only in vegas. The Dj was pretty good, played mostly electro songs. Their go go dancers are pretty hot too, especially the asian girl. ;)\n\nOverall, I would definitely come back here. B)",positive
Rude! Walked in an walked around for 10 minutes aimlessly and no one asked me if I needed help. Way to go MAC! This was one of my worst experiences at a MAC store ever. Just because I am not thin or blonde means you can ignore me.,negative
"This place is a slice out of the late 80's/early 90's themed restaurant era... We're talking Rainforest Cafe, after the forest was depleted of it's trees. \n\nFood was about as 'normal' as you can get... Simple. Don't expect Vegas quality food here. \n\n(Important Note: I ate in the restaurant part, the bar was hoping)",negative
"can someone do something about the flys in this place, also service sucks",negative
"The decor is awesome and the service was good, but the place was two or three bucks overpriced on every item and I thought the food was nothing special.  The eggs and hash browns were super buttery, which is not my thing at all, and all the alcoholic drinks were at least $8 (and were pretty small).  Its not a bad place, it just did not live up to my expectations as to price or quality of food.",negative
This is a new Thai restaurant that has opened in ne Mesa   It took over the old Roma Italian bldg on recker and mckellips  I had the green curry with chicken and veggies  delicious. And the pad Thai made with a wider noodle also very good also w/ lots of chicken  and the pot stickers good but not my fave .the staff is friendly .,positive
"I was really excited to try this place when my friend told me we were going somewhere that the AYCE included sashimi.... I was skeptical that it seemed too good to be true and I should have trusted my gut, but the prospect of endless sashimi won over and off we went.\n\nFirst thing, there were only 4 of us, and they asked if we wanted to sit at the sushi bar or a table, and we opted for a table so it would be easier for us to share the AYCE family style. They walked us over to a teppanyaki table and sat us down directly next to a couple who were already squeezed into the corner. I must have drawn the short straw, because I ended up basically rubbing elbows with the woman. \n\nThey sensed the discomfort, too, and ended up telling the server they were leaving (they hadn't ordered anything yet) and left $1 on the table for the tea. This was the second time I should've taken the hint, but we persisted.\n\nThen we ordered. There are some items that can't be ordered as sashimi, but we got pretty much everything else sashimi style. There is a limit on the number of oysters and orders of Uni that can be ordered per person, so we initially said bring us the maximum # of uni. I had never tried it before and I suspect this wasn't the best opportunity to try it. After re-thinking how much that would be, we decided to just as for half as much to start- 8 pieces. Well, there must have been a mis-communication because they ended up bringing 16 pieces. \n\nAt first, we didn't complain because we figured we'd eat it all anyway. Then we realized that the Nori:rice:uni ratio was way off. there was a TON of nori and rice, with a little bit of uni ontop. I tried one and couldn't stomach it. I can't say for sure whether it was a matter of taste, but something about it just tasted OFF to me. (red flag #3). I dismissed it, thinking maybe I just don't like uni, and trudged on. My friends ate all of the pieces, but left a good amount of rice. When they took away the plates, we got a scolding about how we have to eat the rice or we will get charged. It seemed like a warning, so we were diligent the rest of the time, eating all the rice. As it turns out, it was not a warning, and we got charged an additional $3 per person for leaving rice, so we shouldn't have worried about trying to follow the rule after that. The $3 per person seems like a lot, it seems like it should have been related to the price of the roll that the rice came from, but I dunno.\n\nThe other pieces of fish were just OK. Nothing was really awesome, but nothing was horrible either. The salmon and the soft shelled crab were probably the best items. The takoyaki was also pretty good. \n\nThe cajun albacore was gross, it was hard and the seasoning tasted off. The oysters were poorly opened, so there were little pieces of shell in most of them. The super white tuna had a bad texture and was really tough. \n\nFor me, the worst part was at the end, when we were trying to finish what we had ordered (probably a little too much, but what is AYCE without overeating??) we were each muscling down the last few pieces of the worst items... I had the last couple of pieces from the spicy poki and that's when it happened... Maybe it is because the lower quality pieces of fish were used to chop up into the poki, maybe its because it was sitting there for 30 minutes as one of the things we had ordered earlier in the night. Either way, I put a piece of tuna in my mouth and almost threw up- it tasted rotten and I had to spit it out.\n\nWhen that wasn't bad enough, we got the bill... $27/person for AYCE, $3/person for leaving rice, plus tax, plus mandatory 18% gratuity for a party of FOUR or more... ended up being $152 and change (ie. $38 per person). We put in our credit cards willingly, but then told the waitress that for future reference, to be more clear on the orders, because we felt we had not ordered as much Uni as they had brought, and for us, that was the reason that we left the rice. Instead of apologizing, or offering to take of any or all of the rice charge, or even saying 'thanks for letting us know' she got defensive. and rude. and called over the manager, who continued to scold us like bad children, telling us \""we had to follow the rules\"" and that THEY hadn't made a mistake, that WE needed to understand that 8 orders = 16 pieces. (we feel we ordered 8 PIECES, not 8 ORDERS, but who ever said that the customer is always right, anyway??) We even stated \""we are not disputing the charge, we just wanted you to know that there was a misunderstanding and that in the future that it could be avoided by double checking the order.\""\n\nSorry for the long rant, I probably should've stuck with \""if something seems too good to be true, it probably is.\""",negative
"Unaware of good Sushi places on this side of town, I finally settled on this location and am ver pleased that I did so. Took my younger brother for his first real sushi experience and we both had a great time. The service was great, much more friendly and personnable then I expected. The food was as I expected, if not better, and the $25 AYCE (with the loyalty card too) was exactly what I expected to pay.",positive
"YUM, YUM, YUM and great service...oh and did I mention it was YUM?",positive
"Got my hair cut here a few days ago, best its looked since I was a kid and didn't have a choice!  Awesome atmosphere, theres a bike tie off up front for anyone who decides to pedal over, and Michael is a artist with the mess he had to work with that is my hair.  Regular customer for life now",positive
If you love their ice cream this is the only place you can get a served scoop in a cone in the greater Phoenix area. I made the drive which is a long one from central Scottsdale and extreme from much of the Valley of the Sun. It was nice to enjoy the ice cream. It is a great product and I think it is superior to any other. This is not a full size store. It is in a shopping center that seems to be suffering. I hope it survives. I haven't been for a few months.,positive
"My server for tonight was Odi! She was incredibly attentive & caring with our needs. When we sat down she did an outstanding job at explaining the menu to us and checked on us consistently. If you happen to stop by Oyshi and your expecting quality service I would recommend Odi, plus she has the most contagious smile ever :) \nOyshi truly is the best deal in town for your money with unlimited kitchen/sushi included in the All You Can Eat menu. Definitely a must on my list",positive
"This is a tiny place tucked into some snazzy downtown complex. Its cheap for downtown, and the portions are generous, so I suggest getting only the smaller sizes.\n\nI had a rice and beans burrito, and they let you take one of their hot sauces to the table. I asked for something really hot, and I actually got it. This is surprising for Pittsburgh, because I've noticed overall the town is weak on spice (even the Thai restaurants). \n\nAnyway, the beans in the burrito were fresh and cooked perfectly, and the rice was also plump and lightly spiced. The place is tiny and clean, and I got in and out for under five dollars for lunch.   \n\nThis place is really a gem--its cash only though, so bring that with you.  Good find. A lot better than some of the other places higher up on the list.",positive
"I go to cadillac ranch 2 times every month but this past weekend, i went to the bar towards the back, it was crowded....and was wondering why. First time I seen a DJ on the balcony area....everyone at the bar area was enjoying the DJ......you should have that dj there every weekend!! the music was better than the music that was inside the main floor.....anyways hope to see that dj at the balcony there more often....",positive
"We attended last year when it was held at The Science Center.  I recall standing in line for an eternity and watching the VIP line whiz right through.  I also recall finding the VIP lounge on the third floor and it looking like somewhere we'd want to be.  \n\nSo, this year, we sprung for VIP tickets.  The VIP ticket line did move more quickly which was nice.  But the VIP lounge?  Sad.  Sad, sad.  It was essentially a cordoned off hallway with an extra bar, a table of pasta, meats and cheeses, and about 4 large tables.  There was nothing swank about it.  \n\nCompared to last year, the event was really disappointing.  The venue was much smaller and while I can't be certain, it seemed like there were less than half the number of restaurants as last year.  There were also a lot of non-food booths (Blackberry?  A shredding company? What?) that I don't recall being there last year either.  \n\n2.5 hours in, most of the booths were out of food and had packed up.  That was one full hour before the raffle was supposed to take place.  This is essentially means that if you don't arrive when the event starts, you may not get to eat.  \n\nThe bars were plentiful, which was nice.  They also did a much better problem of dealing with trash than they did last year.  \n\nAll in all, I'm not sure I'll go next year.  I think I can find my own \""Best Of\"" right here on Yelp.",negative
This will be a popular destination of ours as the weather heats up. My daughter loves playing in the water rings at this place.,positive
Good sushi. Friendly staff. Would definitely come back I were in W Phoenix and craving sushi again.,negative
"Ok Ok--this place is ok, not stupendous by any means but decent. The place is a little walk-up resto on a side street in downtown Montreal. Please note--and this is important--it is CASH only. They have an ATM machine in the resto but its a white-label one that charges you $1.50 to withdraw, and you're bank will also charge you at least another $1.50 but BRING CASH. Many patrons find this out only after having ordered their burger and they're forced to make the trek to the bank machine even though they'd really rather not. Anyways to the food. The burgers are DRY, like not juicy goodness like you'd hope but well-done, cooked a little too long, and DRY, let me emphasize DRY. you need to put condiments on there. My boyfriend and I spread garlic mayonnaise on the bun and that made a world of a difference. I agree with another reviewer who says you cannot--I repeat, cannot--taste the caramelized onions. So don't thing those will hold you over, you'll need to pony up the dough and add something from the optional menu. I suggest a cheese--brie is nice, etc. etc.--and probably bacon, just to add to the flavour (which is, quite honestly, lacking). \n\nThe burgers are much better at a chain restaurant like Harvey's. I know know the hipster side of me is scolding me for encouraging people to go to a corporate behemoth like Harvey's, but truth be told their burgers really are much better (and they're grilled; not microwaved like McDonald's). This place is nice for a different burger experience; it is definitely higher end than a typical Harvey's location, for example. As others have noted be prepare to wait wait wait. Today there was a group of 5 people in front of us and literally took us 20 minutes to get our burgers. Yes, 20 minutes. You can phone ahead and they'll place you're order for you in advance and then you can pick it up, but often I'm not planning in advance to go to a burger place. I just wanna walk in, order, and eat soon after ordering. This is not an option here. You will have to wait, longingly looking at your fellow diners as they chow down. \n\nSO: why the three stars? I like the fries, and the different kinds of mayo available. They have spicy mayo, wasabi mayo, garlic mayo, regular mayo ... and another one which I forget at the moment. But I highly recommend the spicy mayo. If the pumps do not work, just ask the associate and he/she will provide with you a small container of it. The pumps are often out of commission so be prepared to ask. Also, the homemade lemonade is phenomenal. Today, not so much, a little watered down, but usually its amazing. I would definitely order the lemonade over any other beverage available. Also, you can spike the lemonade with vodka (its a licensed restaurant). This is always a good option if you're visiting/on vacation, stopping in before a night out on the town. \n\nThis restaurant is good for those who are staying in hotels in the area: Le Centre Sheraton, the Marriott, etc. because its close to the hotel, and its not outrageously expensive (I think my burger, fries, and drink was $12 which, while a little pricey for what its worth, is not too too bad). Maybe you'll have a better experience with your burger and pay the price to dress it up, but I was underwhelmed.",negative
"Although ideally I'd like to launch some witty attack on the Jack Wills brand, on second thought it's not really their fault.\n\nTrue, I associate the baggy sweat pants, ridiculous hooded tops and crisp high collared polo shirts with Jack Wills and it's something I'm not fond of. \n\nRealistically, it's Edinburgh's toff culture that has elevated the hatred of Jack Wills to new levels and it's this point, namely the combination of Rahs and Jack Wills clothing, that is the crucial point to consider.\n\nStill, Jack Wills is a shameless copy of Abercrombie & Fitch and thus has little dignity. \n\nUtter crap.",negative
"Diego has amazing chips and salsa.  I love salt and the flavored salt trio that came with the chips was fantastic.  I ordered the chef's tasting menu and it was quite tasty.  It had several different beef selections on it and each one was interesting and delicious.  It was a little pricier than the average Mexican joint, but I thought it was worth it.  Margarita hit the spot.",positive
"Dr. Doubrava is my eye care specialist.  He is an excellent physician.  I have been here for several yearly exams, and I stop in more often than I should because I'm always doing something to break, damage, or otherwise inhibit the lifespan of my glasses.  This is usually a hiking induced problem.  The office has a registered optometrist, Melissa, and she is top notch.  She has come to my rescue on many occasions.\n\nIn short, Dr. Doubrava's office is a one stop place for my eye care.  I appreciate him and the staff and will continue to stop here.",positive
"Supposedly known for their wings, Native New Yorker needs to perhaps find a new wheelhouse, specialty or business concept as their signature offerings are...meh at best. This location in particular is like a bizarre vortex of awful, truly weird layout, odd glass rooms full of overall wearing men, and dated fixtures straight from 1999. After being offered \""half price strippers,\"" you will then likely wait an inordinately long time whilst perched on a sticky booth. It's certainly an experience with lots of sauce options...which does not make up for the overall lacking of everything else in any way.",negative
"Talk about awesome. I always manage to forget this place is nearby. It took seeing a Jimmy Johns to stop in the plaza and remember it the other day, and a few days later, as a friend and I were both low on groceries, we decided to head over. It's one of her favorite places to go, and as soon as we walked in I could see why. \n\nIt's like a sushi dive bar.. the perfect sushi place to have near your house. It's the place you can walk into in your pajamas and not feel out of place. It's the sushi place you can enjoy easily by yourself. There is no bar to sit by, but it doesn't even really seem to bother you while you're there. \n\nThe staff remembers you and your name... and your order. And whether it's to dine in or take out, you are served quickly. The menu is simple and makes ordering quick. I decided to go with a Philadelphia and a spicy salmon. I was completely satisfied. It was filling, just the right size, and very well made. \n\nHappy hour has some great sake and half off roll specials that sound like a great after work trip some lazy middle of the week when I feel like going out but without all the dolled up drama. What a win!!",positive
"After three days of limited vegetarian options in Montreal (let alone GOOD vegetarian options), I trekked in here waiting to be disappointed. Never happened. This was probably the best sandwich I've had in my life. Ingredients were super fresh, including the bread which was perfectly crispy. The sauces they used definitely also MADE the sandwich. I also tried the veg spring roll (?) by the cash register. Good, but the sauce they give you with that is way too sweet/fruity. Really above all other details, there's: I got my first sandwich here on Sunday morning. Finished it before getting on the metro. Spent 8 hours thinking about it. Came back to Berri UQAM, got two more. (One for \""dinner\"" and one for when I was back home.) Service was also very nice & fast both times I went in there. I can only hope a version of VUA opens up in Brooklyn soon.",positive
"Just had a quick lunch at this location near NorthLake Mall.  You know for a chain BBQ jiont, it is great.  Actually, chain or not it rivals many here in Charlotte.  \n\nI had the combo sampler platter with pork, ribs and chicken tenders,  I admit tenders are an odd item for a BBQ place perhaps.  But these are the biggest tenders I have seen.  A choice of sauces or grilled if you prefer.  Very good.\n\nThe pork was juicy and tender, the ribs fork tender and full of flavor.  But the ribs seemed to be more steamed or something like that rather than cooked low and slow on a smoker.  Sides were good too.  VERY cheesey M&C.  Yum.  The platter was pretty big too.  Maybe too big for lunch. I'm stuffed.\n\nIn and out in 30 minutes with friendly service.  \n\nSure you could find better BBQ joints but this one won't be a bad one any time.",negative
A must in Vegas!,positive
"On a recent trip to Vegas, a group of us tried Michael Mina. This was one of the best restaurant meals I've ever had!  We dined from the chef's tasting menu, and were absolutely delighted by the ahi tartare, lobster pot pie, Kobe ribeye, and assortment of desserts. The service was impeccable - perfectly timed, coordinated with several servers, and they even offered some table side preparation. Loved it!",positive
I have been back about 4 more times since this review. I think I might be addicted haha Last time I was there I tried their  breakfast sandwich and it was delicious.,positive
"I really enjoyed the show.  I had seen Penn and Teller in Seattle about a decade ago, and I enjoyed the show back then, too.  I was slightly disappointed that they don't explain all of their magic any more, but I suppose they can't keep doing that and stay in business.\n\nAfter the show, they both rushed out to the hallway in order to sign autographs and take photos with us audience members.  I was both impressed and slightly disconcerted to hear Penn call everyone \""boss.\""  Ostensibly, it showed that he respects his fans, but on the other hand, I felt like it was very unnatural.  Still, I thought it was good of them to sign autographs, and the show was fun.",positive
"==Reasons Why Nobody Goes To Rollero Anymore==\n\n1. No Roller Derby.\n\n2. Ever-permeating smell of stale sweat and negligence. \n\n3. No Roller Derby.\n\n4. A  dress code reminiscent of an overzealous public school (no muscle shirts, no skirts, no hoodies, no hats or headgear of any kind, boys can't wear makeup and girls can't wear baggy jeans).  \n\n5.  No Roller Derby.\n\n6. Rules and Regulations, Puritan-Style. No touching, no going ahead of people, no laughter, no dancing. Name calling is prohibited unless you are alerting the staff to the presence of a witch. Or a boy in makeup. Egad! And No Gayness Of Any Sort! (Think I'm kidding? Try and hold hands with someone of the same sex.)\n\n7. No Roller Derby.\n\n8. An absence of recent movies featuring compelling roller-skating protagonists may have contributed to the overall disinterest in roller-skating.\n\n9. No fucking Roller Derby.\n\n10. The Eatza Pizza that used to be across the street has since moved.",negative
"The only reason I'm giving PF Changs a 2 star is because of their egg drop soup. It was the only good thing my hubby and I ate. My husband ordered the Beef with Broccoli and said it was WAY too salty. I was excited to finally find a place that did lemon chicken the way I like it, but the lemon sauce was absolutely overpowering! The lemon sauce shouldn't be the only thing I taste, it should only enhance the taste of the chicken and broccoli. My husband and I didn't feel well after eating here, and will not be returning.",negative
"Love these outlets, great selection and prices, not the normal last season stuff you find at other outlets. The stores selection is great, lacoste, D&G, Stuart Weisman, at an outlet mall thats awesome. Always end up buying several items from here.",positive
"This place was just OK.  \nAfter eating at SO CAL CRAWFISH in California, it's hard to compete.  I just love the flavoring at SO CAL CRAWFISH!  Hot N Juicy Crawfish was.....eh???",negative
"***Mandalay Bay's Fleur is a good option for an upscale lunch in Las Vegas***\n\nFleur used to be Fleur de Lys, a more traditional fine dining restaurant (based on the original SF location), but Hubert Keller converted it into Fleur, a modern tapas spot (probably to better align with the diverse crowd that Vegas attracts).\n\nI tried Fleur a few years ago and for the most part the food was good (with some just okay dishes here and there).  Despite the quality of the food, the portions were incredibly dainty making Fleur feel quite overpriced.\n\nFor lunch, Fleur works better though (at least in terms of value).  There is a mix of small plates so you can get a small taste of what Fleur cooks up at dinner.  There are also more substantial lunch plates--sandwiches and salads but also entrees like steak frites and salmon.\n\nI started with the burrata salad--something I would expect to see on the dinner menu and it was actually a substantial starter.  There was a generous portion of burrata, which was very creamy.  The burrata sat on some good, juicy and sweet heirloom tomatoes.  The burrata was topped with tomato pearls.\n\nThere was also olive oil powder and basil powder.  The basil powder had a stronger flavor, but the olive oil powder had a more memorable texture as it turned to almost cream upon tasting it.\n\nEverything was garnished with a really good balsamic--a very deep and rich flavor.  There was also a side of bread, which was just okay--they probably should have toasted it.\n\nFor my entree, I went with the steak frites, which included a very generous portion of hanger steak.  There were two pieces of steak.  One was cooked very nicely.  It was incredibly tender and also quite juicy.  The even cooking of the steak (maybe it was sous vide) was very impressive.  There was also a good outside sear.\n\nThe other piece of steak was not as good (maybe the unevenness of temperature had to with how the pieces were quite different in size).  The steak was okay, but it was not as tender and a little dry in parts.\n\nThe steak had a good flavor; I still would have preferred more seasoning because the sauce was too light in flavor to add much.  With steak frites, I like a richer bordelaise like the one at Lucques (Los Angeles).\n\nThe herb garlic frites were nice and crisp.  The frites were a little uneven in seasoning as some frites had more of a garlic flavor, which was nice.\n\nThey had several desserts, but I didn't think much sounded exciting.  I ended up opting for the almond panna cotta.  The panna cotta was topped with strawberry citrus soup and then garnished with blackberries, streusel, and kalamansi blackberry sorbet.  The panna cotta had a great consistency.  It was creamy, smooth and light.\n\nThere was not much of an almond flavor while there was an overabundance of strawberry citrus soup.  The strawberry soup kind of overpowered the panna cotta.\n\nI liked the streusel, which was buttery and crisp.  The kalamansi blackberry sorbet was also good--not icy and very cool and refreshing.\n\nService was very good.  My server was personable and polite.  He was also very attentive and intuitive even though he had to service many tables.  The hostess was nice too (and attractive if that is important to you).\n\nAs mentioned, prices are not too bad.  Almost everything was priced under $20 and portions were more than generous on a few plates.\n\nFor lunch, only the cafe is open.  While the decor is nice and contemporary, it is close to the casino so you have to deal with casino noise; the cigarette smoke also wafts over a little bit, which is unfortunate.\n\nFor dinner, the main dining room is much nicer.  The room is very contemporary, but it is also very warm (great use of warm colors) and inviting.  It is also farther back in the restaurant, which makes it feel like a nice and relaxing retreat from Vegas.\n\nThe food at Fleur is good for both lunch and dinner, but lunch is much more affordable.  There are not many notable upscale places open for lunch in Vegas so it is nice to have an option like Fleur available.\n\nFleur is located in Mandalay Bay and like many casinos, Mandalay Bay has its own free parking structure.  The structure leads right to Fleur's entrance.",positive
Great store and Great location.  Very Friendly staff and I have a lot of luck finding the supplements that I use there.  \nThey will put stuff aside (if you call ahead of time) and they will order things (if they can)\nDefinitly a place to check out and WAY WAY WAY BETTER THAN GNC......GNC isn't an option compared to them.  GO THERE!,positive
"if I could give this place a NEGATIVE star I would! I ordered the Shanghai Beef, was told it would be 1.00 more, they \""padded\"" it with a HUGE pile of kung pau chicken. This was for my 3 year old, I saw the beef on top, gave him his food...then I heard SCREAMING!!!!!!!!! He bit into a pepper....REAL nice Panda REAL nice",negative
"I have been ordering from here for awhile.. I dont really like it and there are better options for chinese fast food. But they are fast and cheap which is why i usually order from them. \nSome of the dishes are really good. While most of the dishes seem like a very cheap ripoff of what they should be.  All the sauces taste like they came right out of a container, and for some reason they bread everything! Even the sesame chicken.\n\nI will order from here again but i will stick with the lo mein.",negative
